spot_bit,spot_eigenvalue,bus_stop_id
268435456,456,488
131088,1088,329
8192,3192,417
8388608,3608,440
131073,1073,537
1048576,3576,575
67108864,3864,255
2147483648,3648,288
68719476736,1736,485
256,256,252
136315408,408,343
8192,3192,395
68,68,641
8,8,318
64,64,363
68,68,379
537395200,200,409
1,1,249
68,68,640
64,64,378
67108864,3864,254
68,68,281
4194304,4304,268
2147483648,3648,285
8388608,3608,441
301989888,4888,489
1048576,3576,576
16777216,2216,633
67108864,3864,271
1024,1024,353
2147483648,3648,597
64,64,283
4096,4096,454
134348817,3817,626
1048576,3576,569
8,8,317
32768,2768,624
2048,2048,462
536870912,912,259
64,64,284
536870912,912,260
65536,536,223
131073,1073,248
32768,2768,243
2147483648,3648,357
128,128,584
4194304,4304,270
32768,2768,553
55834574848,4848,218
32768,2768,241
34,34,534
1073741824,1824,511
2130432,432,548
436207632,2632,493
32768,2768,623
2048,2048,404
136315408,408,549
524288,4288,397
68,68,592
2147483648,3648,290
33556480,1480,306
131073,1073,522
4294967296,2296,220
16777216,2216,292
1048576,3576,324
134348817,3817,607
68,68,381
55834574848,4848,219
32768,2768,461
8,8,528
32768,2768,238
2048,2048,369
68,68,361
134348817,3817,539
2147483648,3648,358
2048,2048,521
68,68,282
33556480,1480,545
2147483648,3648,636
32768,2768,552
8,8,614
4295032832,2832,222
33556480,1480,627
2130432,432,245
4194560,4560,269
8,8,615
8192,3192,412
2147483648,3648,596
2147483648,3648,287
16777216,2216,355
2048,2048,368
1048576,3576,570
32768,2768,610
8,8,618
8192,3192,391
16778240,3240,189
131073,1073,387
4096,4096,453
436208144,3144,490
68719476736,1736,498
262144,2144,458
2147483648,3648,595
2048,2048,628
536870912,912,351
55834574848,4848,216
537395200,200,398
16777216,2216,293
64,64,594
51539607552,2552,195
2048,2048,350
131601,1601,546
268435456,456,495
68719476736,1736,497
4096,4096,428
16777216,2216,634
16777216,2216,374
16777216,2216,600
64,64,359
32768,2768,341
32768,2768,309
32768,2768,609
68,68,593
51539673088,3088,196
33556480,1480,305
8,8,527
16777216,2216,296
33556480,1480,544
1024,1024,257
131088,1088,328
2048,2048,304
134348817,3817,307
68,68,280
1024,1024,467
134348817,3817,538
32768,2768,240
136315408,408,345
34,34,621
65536,536,224
8,8,531
536870912,912,370
32768,2768,491
524288,4288,410
2147483648,3648,638
4096,4096,427
1024,1024,372
16777216,2216,291
4194304,4304,251
2147483648,3648,289
536870912,912,262
16777216,2216,375
34,34,612
134348817,3817,308
67108864,3864,272
136315408,408,247
16777216,2216,294
2048,2048,349
0,0,572
34,34,314
136315408,408,625
4294967296,2296,221
2147483648,3648,377
8192,3192,392
16777216,2216,598
55834574848,4848,217
32768,2768,310
2130432,432,608
34,34,525
8192,3192,416
34,34,313
128,128,585
1048576,3576,277
68719476736,1736,486
2147483648,3648,286
64,64,639
136315408,408,246
8,8,619
0,0,574
2048,2048,403
16384,1384,236
33556480,1480,606
4194304,4304,250
131089,1089,193
68,68,360
0,0,571
4194304,4304,389
8192,3192,396
68,68,380
68,68,362
8192,3192,390
128,128,556
16384,1384,239
16777216,2216,356
1073741824,1824,484
1073741824,1824,500
2048,2048,303
32768,2768,342
8192,3192,411
128,128,561
131089,1089,184
8,8,530
1073741824,1824,472
1073741824,1824,483
16384,1384,235
131601,1601,547
131073,1073,420
1073741824,1824,499
2147483648,3648,637
131089,1089,182
32768,2768,492
16778240,3240,183
536870912,912,261
4194304,4304,267
301989888,4888,494
32768,2768,421
262144,2144,423
0,0,573
32768,2768,242
64,64,382
128,128,589
16777216,2216,599
4194560,4560,338
136315408,408,244
16777216,2216,635
1024,1024,516
8192,3192,415
1024,1024,258
128,128,560
2048,2048,605
256,256,253
2147483648,3648,376
16777216,2216,295
