delay,time,access_num,snow_fall
0,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
0,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
1,6,4,0
0,6,4,0
0,6,4,0
0,7,13,0
1,7,13,0
0,7,13,0
1,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
1,7,13,0
0,7,13,0
1,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
1,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
1,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
0,7,13,0
